station,DIFF_TMAX,DIFF_TMIN,DIFF_PRCP,NRECORDS,TMAX,TMIN,PRCP
JA000047637,835136.67,1126774.43,4216628.9,21029,39.7135703077,53.5819311427,200.514950782
USC00353847,1503559.33771,3588715.45153,2618702.3547,37800,39.7767020558,94.9395622097,69.2778400714
USC00421259,1631181.39566,4830481.44309,2911956.75925,40992,39.792676514,117.839613658,71.0371965078
USC00357160,1656705.90771,5854710.85437,2814856.44242,41598,39.8265759822,140.745008279,67.6680716001
USC00312253,1439918.1575,1763435.69806,5338707.86299,36154,39.8273540272,48.775673454,147.665759335
USC00291236,1627112.4757,6455893.0512,2899559.69425,40844,39.8372460018,158.062213574,70.9910805564
USC00075320,913198.99,778177.44,3327060.82,22917,39.8481035912,33.9563398351,145.178724091
USC00425402,1680659.76929,4560810.47502,2897461.22092,42145,39.8780346255,108.217118876,68.749821353
USR0000NROY,150603.13,155473.8,290259.49,3766,39.9902097716,41.2835369092,77.0736829527
CHM00057083,844758.02,535824.64,2535198.65,21121,39.996118555,25.3692836513,120.032131528
USC00453826,1650154.44465,2001047.76875,4909129.25057,41236,40.0173257506,48.5267186136,119.049598665
USC00426915,1671764.91595,3822340.17749,2927814.65625,41763,40.0298090642,91.5245594782,70.1054679082
GM000002716,1464224.93,1425478.17,2748701.6,36543,40.0685474646,39.0082415237,75.2182798347
